,Al-Hasakeh,Aleppo,As-Sweida,Damascus,Dar'a,Hama,Homs,Lattakia,Rural Damascus,Tartous
,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2019-04-14,35.32404052312283,24.980049922565485,27.704329700795856,23.73570862410714,20.28481201346995,29.934884702632456,27.143116898041384,19.945500851831685,31.21436178737213,26.53314191102868
2019-04-15,35.897494734383834,25.119804474245175,27.467960501864805,23.58114110915258,20.146720455311392,29.870385051284373,27.01073085607049,20.06775230673782,31.305454119149065,26.078784652378072
2019-04-16,36.3735717579829,25.173703255899834,27.256192963645205,23.44879482655049,20.047267281626027,29.81409923739036,26.903976215688402,20.289652201360354,31.41957994878357,25.75356876797449
2019-04-17,36.73801163406545,25.115185105673987,27.10012127786054,23.340152525516118,19.98884943288586,29.772957615996123,26.825166778137632,20.497683534421267,31.556924417196335,25.594572502017815
2019-04-18,36.996080838826664,24.959907452765286,26.998794928156336,23.25226575701514,19.969157086923822,29.749139165486245,26.7713435570723,20.6708222895311,31.712468043429283,25.586489974943188
2019-04-19,37.15792745747419,24.73408237413469,26.943252221158623,23.18107827245086,19.984703730913097,29.74363502008005,26.738229369249446,20.811167696522567,31.879890191054663,25.700919276244527
2019-04-20,37.23369957521569,24.46392194674315,26.92453146349345,23.12253382322658,20.032002852026856,29.757436313996852,26.721547031426105,20.920818985228358,32.052870223644724,25.909458495415805
2019-04-21,37.233545277258806,24.175638247551614,26.933670961786838,23.07257616074561,20.10756793743827,29.79153418145597,26.71701936035932,21.001875385481178,32.225087504771736,26.183705721950957
2019-04-22,37.167612648811215,23.89544335352105,26.961709022664856,23.027149036411238,20.207912474320516,29.846919756676726,26.720369172806127,21.056436127113727,32.39022139800793,26.495259045343943
2019-04-23,37.046049775080554,23.649549341612396,26.999683952753493,22.98219620162678,20.32954994984676,29.924584173878436,26.727319285523564,21.086600439958705,32.54195126692556,26.815716555088695
2019-04-24,36.879004741274464,23.46416828878661,27.03863405867882,22.933661407795523,20.468993851190184,30.02551856728042,26.733592515268658,21.09446755384882,32.67395647509688,27.116676340679163
2019-04-25,36.676625632600626,23.36551227200465,27.069597647066864,22.877488406320786,20.622757665523956,30.14534786574261,26.734911678798447,21.08213669861676,32.779916386094136,27.3697364916093
2019-04-26,36.44906053426667,23.379793368227467,27.083613024543656,22.80962094860587,20.787354880021248,30.258232176687372,26.72699959286998,21.051707104095225,32.85351036348959,27.546495097373047
2019-04-27,36.20645753148027,23.53322365441601,27.071718497735226,22.72600278605406,20.95929898185523,30.33296540217768,26.705579074240283,21.00527800011693,32.88841777085546,27.618550247464345
2019-04-28,35.958964709449056,23.85201520753123,27.024952373267627,22.622577670068676,21.135103458199083,30.338341444276523,26.6663729396664,20.94494861651456,32.878317971764034,27.55750003137716
2019-04-29,35.71673015338071,24.3623801045341,26.934352957766897,22.495289352053007,21.31128179622598,30.24315420504688,26.605104005905368,20.87281818312082,32.816890329787554,27.334942538605425
2019-04-30,35.48990194848286,25.090530422385548,26.790958557859053,22.34008158341037,21.48434748310909,30.016197586551726,26.51749508971421,20.79098592976841,32.69781420849826,26.922475858643097
2019-05-01,35.28862817996317,26.062678238046544,26.585807480170146,22.152898115544055,21.650814006021587,29.62626549085405,26.39926900784998,20.70155108629004,32.514768971468385,26.2916980809841
2019-05-02,35.123056933029304,27.305035628478038,26.30993803132621,21.929682699857363,21.807194852136643,29.04215182001682,26.246148577069707,20.60661288251839,32.26143398227022,25.41420729512241
2019-05-03,34.981310384550945,28.809090257992505,25.952970841049186,21.667722880293653,21.948846077777038,28.226573288843092,26.04262834192567,20.540480992567154,31.933049228065393,24.279042502272706
2019-05-04,34.76340707804608,30.427432140308554,25.498855831444672,21.3696813709564,22.066494015863935,27.117937863096216,25.728289758151135,20.666306867673914,31.531097190373128,22.945006350532662
2019-05-05,34.3473396486947,31.97792687649632,24.930125247714162,21.039564678489146,22.149707568468116,25.648576321279595,25.231486009274608,21.17945240335723,31.05862097430209,21.488342399720704
2019-05-06,33.61110073167683,33.278440067625915,24.22931133505915,20.68137930953542,22.18805563766035,23.750819441896645,24.48057027882459,22.275279495135663,30.518663684960885,19.985294209655247
2019-05-07,31.69246780071301,34.16533353924205,23.39519134829164,20.29913177073877,22.171107125511426,21.44155410889759,23.365689920935957,24.025187337009804,29.914268427458172,18.512105340154722
2019-05-08,27.205725675008793,34.54895401478763,22.491522580665595,19.896828568742716,22.088430934092106,19.07589162801986,21.62416897216902,26.004724316908348,29.248478306902573,17.14501935103755
2019-05-09,25.58634167857717,34.36736040659169,21.598307335045472,19.4784762101908,21.92959596547317,17.1027085866725,19.25162092685786,27.66547612124201,28.524336428402734,15.960279802122152
2019-05-10,25.954853930656885,33.595475484629596,20.79554791429573,19.048081201726546,21.68417112172539,15.950097919417457,17.429640428006152,28.45902843642151,27.744885897067277,15.03413025322695
2019-05-11,25.842862425371003,32.259709677381345,20.122605895420218,18.608992348002303,21.345535157400604,15.73419765788801,17.24897849219439,28.08847214225574,26.915882866821086,14.419814932498138
2019-05-12,25.178511852477,30.555560189699204,19.45627995198026,18.161927645705617,20.922306236974855,16.150794883299554,18.25103048164075,27.262918892146264,26.05393568685397,14.078580741393006
2019-05-13,24.489083075640966,28.72079592052851,18.632728031676567,17.70694738953285,20.426912377405266,16.804994028699614,19.589852844972803,26.727898057242673,25.17836575517199,13.948675249696633
2019-05-14,24.301856958528983,26.993185768814627,17.488108082209852,17.244111874180373,19.871781595648933,17.301899527135717,20.419502030818155,26.368589106093864,24.308494469781195,13.968346027194077
2019-05-15,25.63944308196855,25.56710135625359,15.92677440866409,16.773481394344532,19.26934190866298,17.344442087332336,20.113083956055874,25.924780189511438,23.460604125740463,14.07584064367041
2019-05-16,29.379924082016508,24.46332519554432,14.125866745656307,16.29511624472169,18.632021333404502,17.026857520721748,18.919902410571048,25.41504408995835,22.63882060631994,14.209406668910704
2019-05-17,30.386068467583787,23.659242522136473,12.330721185186801,15.809076720008214,17.97224788683063,16.541207914413203,17.30831065250025,24.927649747810428,21.84423069184258,14.307291672700014
2019-05-18,29.365700571597174,23.132238571479675,10.786673819255865,15.31542311490045,17.302449585898458,16.07955535551591,15.746661939980056,24.55086610344346,21.07792116263134,14.307743224823422
2019-05-19,28.535007936207638,22.85488586219592,9.68678444755626,14.814902290575862,16.64294413485129,15.795909245815118,14.61340953873513,24.35181948062557,20.340769881953744,14.163973781752235
2019-05-20,28.17273330303057,22.780506045596677,9.01500770055063,14.311007374136302,16.045607987077194,15.692068245799994,13.927406744842559,24.313065736693876,19.632819044855477,13.889055346702717
2019-05-21,28.073258213547504,22.857608056165763,8.703021916394077,13.807918059164706,15.570207283250424,15.73177833063573,13.6176068619675,24.39601811237781,18.953901929326772,13.511024809577398
2019-05-22,28.030964209239972,23.034700828387,8.682505433241714,13.309814039244024,15.276508164045232,15.878785475487506,13.612963193775126,24.56208984840678,18.303851813357866,13.057919060278785
2019-05-23,27.840232831589493,23.26029329674421,8.885136589248642,12.820875007957186,15.224276770135878,16.096835655520493,13.842429043930595,24.77269418551019,17.682501974939008,12.557774988709394
2019-05-24,27.35775582161483,23.48289439572121,9.242593722569975,12.34528065888715,15.441725742822412,16.34967484589988,14.234957716099084,24.989244364417466,17.089685692060417,12.038629484771743
