AdminStrata,Damascus,Aleppo,Rural Damascus,Homs,Hama,Lattakia,Idleb,Al-Hasakeh,Deir-ez-Zor,Tartous,Ar-Raqqa,Dar'a,As-Sweida,Quneitra
Indicator,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code
2018-06-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-06-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-07-31,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-08-31,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-13,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-14,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-15,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-16,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-17,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-09-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
