SvyDate,Date,Dmgrph,DmgrphCode,Mean_crrnt,Pop,PopNmbr
2019-4-30_2019-7-28,2019-07-28,EAST,900961,22.21756,1108419,246263
2019-4-30_2019-7-28,2019-07-28,FAR-NORTH,900962,12.69325,4545866,577018
2019-4-30_2019-7-28,2019-07-28,LITTORAL,900963,14.855880000000004,3845583,571295
2019-4-30_2019-7-28,2019-07-28,NORTH,900964,7.46073,2825922,210834
2019-4-30_2019-7-28,2019-07-28,SOUTH,900967,15.235339999999999,797019,121428
2019-4-30_2019-7-28,2019-07-28,WEST,900966,27.859920000000002,2066677,575774
2019-6-30_2019-7-29,2019-07-29,NORTH-WEST,900965,55.39936999999999,2221973,1230959
2019-6-30_2019-7-29,2019-07-29,SOUTH-WEST,900968,44.84588000000001,1837059,823845
2019-5-1_2019-7-29,2019-07-29,ADAMAWA,900959,17.7162,1295480,229509
2019-5-1_2019-7-29,2019-07-29,CENTRAL,900960,16.99393,4672234,793996
2019-5-1_2019-7-29,2019-07-29,EAST,900961,21.83244,1108419,241994
2019-5-1_2019-7-29,2019-07-29,FAR-NORTH,900962,12.540189999999999,4545866,570060
2019-5-1_2019-7-29,2019-07-29,LITTORAL,900963,14.692979999999999,3845583,565030
2019-5-1_2019-7-29,2019-07-29,NORTH,900964,7.3643399999999986,2825922,208110
2019-5-1_2019-7-29,2019-07-29,SOUTH,900967,15.141570000000002,797019,120681
2019-5-1_2019-7-29,2019-07-29,WEST,900966,28.52772,2066677,589575
2019-7-1_2019-7-30,2019-07-30,NORTH-WEST,900965,55.52774,2221973,1233811
2019-7-1_2019-7-30,2019-07-30,SOUTH-WEST,900968,46.42908,1837059,852929
2019-5-2_2019-7-30,2019-07-30,ADAMAWA,900959,17.45966,1295480,226186
2019-5-2_2019-7-30,2019-07-30,CENTRAL,900960,16.7842,4672234,784197
2019-5-2_2019-7-30,2019-07-30,EAST,900961,21.30487,1108419,236147
2019-5-2_2019-7-30,2019-07-30,FAR-NORTH,900962,12.390789999999999,4545866,563268
2019-5-2_2019-7-30,2019-07-30,LITTORAL,900963,14.533620000000004,3845583,558902
2019-5-2_2019-7-30,2019-07-30,NORTH,900964,7.2334999999999985,2825922,204413
2019-5-2_2019-7-30,2019-07-30,SOUTH,900967,14.6023,797019,116383
2019-5-2_2019-7-30,2019-07-30,WEST,900966,27.887850000000004,2066677,576351
2019-7-2_2019-7-31,2019-07-31,NORTH-WEST,900965,56.23096,2221973,1249436
2019-7-2_2019-7-31,2019-07-31,SOUTH-WEST,900968,45.462340000000005,1837059,835170
2019-5-3_2019-7-31,2019-07-31,ADAMAWA,900959,17.24561,1295480,223413
